high-bits r7rs-fft r7rs-fibfp r7rs-mbrot r7rs-nucleic r7rs-pnpoly r7rs-ray r7rs-simplex r7rs-sumfp r7rs-sum1
zero 90%  13%  0%  0%  26%  4%  11%  0%  - 
nan -  -  -  -  -  -  -  -  - 
inf -  -  -  -  -  -  -  -  - 
00000 -  -  -  -  -  -  -  -  - 
00001 -  -  -  -  -  -  -  -  - 
00010 -  -  -  -  -  -  -  -  - 
00011 -  -  -  -  -  -  -  -  - 
00100 -  -  -  -  -  -  -  -  - 
00101 -  -  -  -  -  -  -  -  - 
00110 -  -  -  -  -  -  -  -  - 
00111 -  -  -  -  -  -  -  -  - 
01000 -  -  -  -  -  -  -  -  - 
01001 -  -  -  -  -  -  -  -  - 
01010 -  -  -  -  -  -  -  -  - 
01011 -  -  -  -  -  -  -  -  - 
01100 -  -  -  -  -  -  -  -  - 
01101 -  -  -  -  -  -  -  -  - 
01110 0%  -  -  -  -  0%  -  -  - 
01111 10%  33%  96%  62%  67%  17%  65%  0%  0% 
10000 0%  54%  4%  37%  7%  79%  24%  100%  100% 
10001 -  -  -  -  -  -  -  -  - 
10010 -  -  -  -  -  -  -  -  - 
10011 -  -  -  -  -  -  -  -  - 
10100 -  -  -  -  -  -  -  -  - 
10101 -  -  -  -  -  -  -  -  - 
10110 -  -  -  -  -  -  -  -  - 
10111 -  -  -  -  -  -  -  -  - 
11000 -  -  -  -  -  -  -  -  - 
11001 -  -  -  -  -  -  -  -  - 
11010 -  -  -  -  -  -  -  -  - 
11011 -  -  -  -  -  -  -  -  - 
11100 -  -  -  -  -  -  -  -  - 
11101 -  -  -  -  -  -  -  -  - 
11110 -  -  -  -  -  -  -  -  - 
11111 -  -  -  -  -  -  -  -  - 
